index,latitude,longitude
1048,-36.2644,143.349
1049,-36.2694,143.3503
1050,-36.2743,143.3631
1051,-36.3427,141.6412
1052,-36.3333,141.65
1053,-36.4213,143.6151
1054,-36.4236,143.616
1055,-18.6455,146.1625
1056,-18.6511,146.1548
1057,-26.5899,118.4968
1058,-26.596,118.4926
1059,-26.5857,118.4993
1060,-26.5899,118.4968
1061,-30.6462,151.4923
1062,-30.6411,151.5007
1063,-36.0779,143.2289
1064,-36.0663,143.229
1065,-27.3074,151.487
1066,-27.3068,151.4924
1067,-27.3118,151.5
1068,-36.9333,144.227
1069,-36.8866,144.2126
1070,-34.7769,149.6803
1071,-34.7758,149.71
1072,-20.9333,148.8021
1073,-20.9044,148.781
1074,-20.8932,148.7662
1075,-20.854,148.7141
1076,-20.8335,148.6438
1077,-20.8121,148.6259
1078,-20.7872,148.614
1079,-20.756,148.6066
1080,-20.7304,148.6086
1081,-20.6792,148.5879
1082,-20.6612,148.5908
